Corners Earned (FT),Overall,At Home,At Away
Corners Earned / Match,,,
More Corners Than Opponent,,,
Over 2.5 Earned,,,
Over 3.5 Earned,,,
Over 4.5 Earned,,,
Over 5.5 Earned,,,
Over 6.5 Earned,,,
Over 7.5 Earned,,,
Over 8.5 Earned,,,
Corners Earned,,,
