Category,Rank,Player,Value,Metric
Most Clean Sheets,24,Achraf Harmach,9,Kept
Most Clean Sheets,25,Ismail Mokadem,9,Kept
Most Clean Sheets,26,Ismail Khafi,9,Kept
Most Clean Sheets,27,Ahmed Reda Tagnaouti,9,Kept
Most Clean Sheets,28,Mohamed Al Makahasi,9,Kept
Most Clean Sheets,29,Noureddine Oussama,9,Kept
Most Clean Sheets,30,Adam Brika,9,Kept
Most Clean Sheets,31,Adnane Berdad,9,Kept
Most Clean Sheets,32,Karim El Bounagat,9,Kept
Most Clean Sheets,33,Badr Banoun,9,Kept
Most Clean Sheets,34,Arthur Kevin Yamga,8,Kept
Most Clean Sheets,35,Moctar El Hacen El Id,8,Kept
Most Clean Sheets,36,Babacar Niasse Mbaye,8,Kept
Most Clean Sheets,37,Romuald Dacosta,8,Kept
Most Clean Sheets,38,Youssef Michte,8,Kept
Most Clean Sheets,39,Oussama Daoui,8,Kept
Most Clean Sheets,40,Larbi Naji,8,Kept
Most Clean Sheets,41,Abdellatif Benkassou,7,Kept
Most Clean Sheets,42,Abdellah Ziani,7,Kept
Most Clean Sheets,43,Zakaria Oubraim,7,Kept
Most Clean Sheets,44,El Habib Brija,7,Kept
Most Clean Sheets,45,Jamal Ech-Chammakh,7,Kept
Most Clean Sheets,46,Ayoub Maamouri,7,Kept
Most Clean Sheets,47,Augusto Real Carneiro,7,Kept
Most Clean Sheets,48,Adam Ennaffati,7,Kept
Most Clean Sheets,49,Abdelilah Madkour,7,Kept
Most Clean Sheets,50,Soulyman Allouch,7,Kept
Unknown,1,Abdellatif El Bajjani,18,Apps
Unknown,2,Anas Tahiri,17,Apps
Unknown,3,Hamza Afsal,17,Apps
Unknown,4,Ayoub Mouloua,17,Apps
Unknown,5,Chehab Salah Al Deen,17,Apps
Unknown,6,Soufiane Benjdida,17,Apps
Unknown,7,Amine Souane,17,Apps
Unknown,8,Zakaria Kiani,17,Apps
Unknown,9,Abdessamad Maher,17,Apps
Unknown,10,Karim El Bounagat,17,Apps
Unknown,11,Anas Serrhat,17,Apps
Unknown,12,Chemseddine Knaidil,17,Apps
Unknown,13,Mahdi Benabid,17,Apps
Unknown,14,Badreddine Abyir,17,Apps
Unknown,15,Mohamed Saoud,16,Apps
Unknown,16,James Ajako,16,Apps
Unknown,17,Reda Abardi,16,Apps
Unknown,18,Marouane Ouhrou,16,Apps
Unknown,19,Faraji Karmoune,16,Apps
Unknown,20,Noureddine Oussama,16,Apps
Unknown,21,Larbi Naji,16,Apps
Unknown,22,Mohamed Idar,16,Apps
Unknown,23,Adnane Berdad,16,Apps
Unknown,24,Redouane Ait Lemkadem,16,Apps
Unknown,25,Babacar Niasse Mbaye,16,Apps
Unknown,26,Moctar El Hacen El Id,16,Apps
Unknown,27,Hamza El Janati,16,Apps
Unknown,28,El Mahdi Akoumi,16,Apps
Unknown,29,Soufyan Ahannach,16,Apps
Unknown,30,Zakaria Fati,16,Apps
Unknown,31,Abdelali Ait Brayim,16,Apps
Unknown,32,Souleymane Cissé,16,Apps
Unknown,33,Anas Bach,16,Apps
Unknown,34,Ahmed Hammoudan,16,Apps
Unknown,35,Mehdi Harrar,16,Apps
Unknown,36,Haitam El Bahja,16,Apps
Unknown,37,Houdaifa El Mahasni,16,Apps
Unknown,38,Oussama Soukhal,16,Apps
Unknown,39,Amine El Ouaad,15,Apps
Unknown,40,Mounir Chouiar,15,Apps
Unknown,41,Sabir Bougrine,15,Apps
Unknown,42,Ismaël Kandouss,15,Apps
Unknown,43,Mohamed Boulacsout,15,Apps
Unknown,44,Fred Duval Ngoma,15,Apps
Unknown,45,Khalid Ait Ouarkhane,15,Apps
Unknown,46,Abderrahmane Kassak,15,Apps
Unknown,47,Gnolou Claude,15,Apps
