2nd Half,Overall,At Home,At Away
2H Wins,35%,25%,44%
2H Draws,28%,38%,22%
2H Losses,35%,38%,33%
2H Scored AVG,0.59,0.38,0.78
2H Conceded AVG,0.53,0.63,0.44
2H Total Goals AVG,1.12,1.00,1.22
2H Clean Sheets,53%,50%,56%
2H Failed to Score,65%,75%,56%
Half with Most Goals is 2H,35%,38%,33%
