Corners Against (FT),Overall,At Home,At Away
Corners Against / Match,,,
Over 2.5 Against,,,
Over 3.5 Against,,,
Over 4.5 Against,,,
Over 5.5 Against,,,
Over 6.5 Against,,,
Over 7.5 Against,,,
Over 8.5 Against,,,
Corners Against,,,
