player_name,player_url,club,position,nationality,kit_number,age,rating,matches_played,minutes,minutes_per90,annual_salary,matches_started,matches_subbed_in,matches_subbed_out,goals_scored,goals_scored_per90,goal_involvement,goal_involvement_per90,goals_at_home,goals_at_home_per90,goals_at_away,goals_at_away_per90,expected_goals_xg,expected_goals_xg_per90,non-penalty_xg_npxg,non-penalty_xg_npxg_per90,penalties_scored,hat-tricks,3_or_more_goals,2_or_more_goals,minutes_per_goal,shots_taken,shots_taken_per90,shots_on_target,shots_on_target_per90,shots_off_target,shots_off_target_per90,hit_the_woodwork,hit_the_woodwork_per90,shot_conversion_rate,shot_accuracy,shots_per_goal_scored,assists,assists_per90,expected_assists_xa,expected_assists_xa_per90,passes,passes_per90,successful_passes,successful_passes_per90,pass_completion_rate,key_passes,key_passes_per90,crosses,crosses_per90,successful_crosses,successful_crosses_per90,cross_completion_rate,minutes_per_assist,dribbles,dribbles_per90,successful_dribbles,successful_dribbles_per90,dribble_success_rate,dispossesed,dispossesed_per90,offsides,offsides_per90,yellow_cards,red_cards,total_cards,total_cards_per90,minutes_per_booking,cards_over_0.5,cards_over_0.5_per90,fouls_committed,fouls_committed_per90,fouled_against,fouled_against_per90,goals_conceded,goals_conceded_per90,minutes_per_goal_conceded,clean_sheets,clean_sheets_per90,tackles,tackles_per90,interceptions,interceptions_per90,ground_duels,ground_duels_per90,ground_duels_won,ground_duels_won_per90,aerial_duels_won,aerial_duels_won_per90,dribbled_past,dribbled_past_per90,clearances,clearances_per90,shots_blocked,shots_blocked_per90,penalties_given_away,penalties_given_away_per90,penalty_conversion_rate,penalty_conversion_rate_per90,penalties_taken,penalties_taken_per90,penalties_scored_per90,penalties_missed,penalties_missed_per90,shots_faced,shots_faced_per90,saves,saves_per90,save_percentage,save_percentage_per90,punches,punches_per90
Mohamed Al Makahasi,https://footystats.org/players/morocco/mohamed-al-makahasi,"Raja CasablancaNational Team : Raja CasablancaPosition : MidfielderNationality : MoroccoBirthplace : Martil - MoroccoKit Number : #35Age : 31 (February 5, 1995)Annual Salary (Euros) : €200,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MidfielderNationality : MoroccoBirthplace : Martil - MoroccoKit Number : #35Age : 31 (February 5, 1995)Annual Salary (Euros) : €200,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoBirthplace : Martil - MoroccoKit Number : #35Age : 31 (February 5, 1995)Annual Salary (Euros) : €200,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,31.0,33.0,14,1195,85 min' per appearance,"€200,000",13,1,0,0,0.0,3,0.23,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0 min' / goal,0,0.0,0/ 0,0.0,0/ 0,0.0,0 times,0.0,0.00%,0.00%,0.0,3,0.23,1.56,0.12,0,0.0,0/ 0,0.0,0.00%,0,0.0,0,0.0,0/ 0,0.0,0.00%,398 min' / assist,0,0.0,0.0,0.0,0.00%,0,0.0,0.0,0.0,3,0,3,0.23,398 min' / card,3,21%,0,0.0,0,0.0,5,0.38,239 min',9,64%,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,No Pens,No Pens,0,0,0,0,0,,,,,,,,
Ahmed Hammoudan,https://footystats.org/players/morocco/ahmed-hammoudan,"FAR RabatPosition : Defender - Right WingNationality : MoroccoKit Number : #11Age : 34 (July 12, 1991)GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","Defender - Right WingNationality : MoroccoKit Number : #11Age : 34 (July 12, 1991)GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoKit Number : #11Age : 34 (July 12, 1991)GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,34.0,24.0,10,628,63 min' per appearance,,8,2,5,2,0.29,2,0.29,2,0.57,0,0.0,2.24,0.32,2.24,0.32,0,0,0,0,314 min' / goal,15,2.15,4/ 15,0.57,11/ 15,1.57,0 times,0.0,13.33%,26.67%,7.5,0,0.0,0.5,0.07,217,31.05,174/ 217,24.9,80.18%,3,0.43,5,0.72,0/ 5,0.0,0.00%,No Assists,28,4.01,14.0,2.0,50.00%,10,1.43,4.0,0.57,0,0,0,0.0,No Bookings,0,0%,10,1.43,11,1.57,5,0.72,126 min',5,50%,17,2.43,5,0.72,94,13.45,44,6.3,4,0.57,8,1.14,6,0.86,1,0.14,0,0.0,No Pens,No Pens,0,0,0,0,0,,,,,,,,
Achraf Harmach,https://footystats.org/players/morocco/achraf-harmach,"Maghreb FèsPosition : MidfielderNationality : MoroccoKit Number : #8Age : 33 (January 16, 1993)Annual Salary (Euros) : €140,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MidfielderNationality : MoroccoKit Number : #8Age : 33 (January 16, 1993)Annual Salary (Euros) : €140,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoKit Number : #8Age : 33 (January 16, 1993)Annual Salary (Euros) : €140,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,33.0,28.0,15,1078,72 min' per appearance,"€140,000",13,2,2,2,0.17,5,0.42,1,0.2,1,0.14,1.02,0.09,1.02,0.09,0,0,0,0,539 min' / goal,0,0.0,0/ 0,0.0,0/ 0,0.0,0 times,0.0,0.00%,0.00%,0.0,3,0.25,1.51,0.13,0,0.0,0/ 0,0.0,0.00%,0,0.0,0,0.0,0/ 0,0.0,0.00%,359 min' / assist,0,0.0,0.0,0.0,0.00%,0,0.0,0.0,0.0,2,0,2,0.17,539 min' / card,2,13%,0,0.0,0,0.0,4,0.33,270 min',9,60%,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,No Pens,No Pens,0,0,0,0,0,,,,,,,,
Hamza El Moussaoui,https://footystats.org/players/morocco/hamza-el-moussaoui,"RSB BerkaneNational Team : RSB BerkanePosition : Defender - Left BackNationality : MoroccoKit Number : #19Age : 33 (April 7, 1993)Height : 181cmAnnual Salary (Euros) : €130,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","Defender - Left BackNationality : MoroccoKit Number : #19Age : 33 (April 7, 1993)Height : 181cmAnnual Salary (Euros) : €130,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoKit Number : #19Age : 33 (April 7, 1993)Height : 181cmAnnual Salary (Euros) : €130,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,33.0,41.0,7,593,85 min' per appearance,"€130,000",6,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0.1,0.02,0.1,0.02,0,0,0,0,0 min' / goal,2,0.3,0/ 2,0.0,2/ 2,0.3,0 times,0.0,0.00%,0.00%,0.0,0,0.0,0.63,0.1,270,40.98,221/ 270,33.54,81.85%,7,1.06,34,5.16,7/ 34,1.06,20.59%,No Assists,8,1.21,4.0,0.61,50.00%,5,0.76,2.0,0.3,2,0,2,0.3,297 min' / card,2,29%,7,1.06,7,1.06,5,0.76,119 min',3,43%,9,1.37,9,1.37,47,7.13,24,3.64,6,0.91,2,0.3,13,1.97,2,0.3,0,0.0,No Pens,100%,0,1,1,0,0,,,,,,,,
Soufiane Tazi,https://footystats.org/players/morocco/soufiane-tazi,"FUS RabatPosition : MidfielderNationality : MoroccoKit Number : #49Annual Salary (Euros) : €160,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MidfielderNationality : MoroccoKit Number : #49Annual Salary (Euros) : €160,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoKit Number : #49Annual Salary (Euros) : €160,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,,12.0,13,821,63 min' per appearance,"€160,000",10,3,4,1,0.11,4,0.44,1,0.29,0,0.0,0.56,0.07,0.56,0.07,0,0,0,0,821 min' / goal,0,0.0,0/ 0,0.0,0/ 0,0.0,0 times,0.0,0.00%,0.00%,0.0,3,0.33,1.88,0.25,0,0.0,0/ 0,0.0,0.00%,0,0.0,0,0.0,0/ 0,0.0,0.00%,274 min' / assist,0,0.0,0.0,0.0,0.00%,0,0.0,0.0,0.0,1,1,2,0.22,411 min' / card,0,0%,0,0.0,0,0.0,11,1.21,75 min',2,15%,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,No Pens,No Pens,0,0,0,0,0,,,,,,,,
Brahim Amzili,https://footystats.org/players/morocco/brahim-amzili,"Olympique DcheïraPosition : MidfielderNationality : MoroccoKit Number : #13Age : 32 (July 9, 1993)Annual Salary (Euros) : €45,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MidfielderNationality : MoroccoKit Number : #13Age : 32 (July 9, 1993)Annual Salary (Euros) : €45,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoKit Number : #13Age : 32 (July 9, 1993)Annual Salary (Euros) : €45,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,32.0,50.0,16,1033,65 min' per appearance,"€45,000",14,2,1,1,0.09,3,0.26,1,0.18,0,0.0,0.58,0.06,0.58,0.06,0,0,0,0,1033 min' / goal,0,0.0,0/ 0,0.0,0/ 0,0.0,0 times,0.0,0.00%,0.00%,0.0,2,0.17,0.62,0.06,0,0.0,0/ 0,0.0,0.00%,0,0.0,0,0.0,0/ 0,0.0,0.00%,517 min' / assist,0,0.0,0.0,0.0,0.00%,0,0.0,0.0,0.0,4,1,5,0.44,207 min' / card,3,19%,0,0.0,0,0.0,20,1.74,52 min',3,19%,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,No Pens,No Pens,0,0,0,0,0,,,,,,,,
Anass Eddaou,https://footystats.org/players/morocco/anass-eddaou,"Olympic SafiPosition : MidfielderNationality : MoroccoKit Number : #7Age : 27 (April 1, 1999)Height : 172cmAnnual Salary (Euros) : €55,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MidfielderNationality : MoroccoKit Number : #7Age : 27 (April 1, 1999)Height : 172cmAnnual Salary (Euros) : €55,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoKit Number : #7Age : 27 (April 1, 1999)Height : 172cmAnnual Salary (Euros) : €55,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,27.0,8.0,8,217,27 min' per appearance,"€55,000",2,6,1,0,0.0,0,0.0,0,0.0,0,0.0,0.34,0.13,0.34,0.13,0,0,0,0,0 min' / goal,3,1.15,2/ 3,0.77,1/ 3,0.38,0 times,0.0,0.00%,66.67%,0.0,0,0.0,0.15,0.06,64,24.62,51/ 64,19.62,79.69%,1,0.38,5,1.92,0/ 5,0.0,0.00%,No Assists,5,1.92,1.0,0.38,20.00%,1,0.38,1.0,0.38,0,0,0,0.0,No Bookings,0,0%,4,1.54,3,1.15,1,0.41,217 min',1,13%,5,1.92,1,0.38,17,6.54,7,2.69,1,0.38,1,0.38,0,0.0,0,0.0,0,0.0,No Pens,No Pens,0,0,0,0,0,,,,,,,,
Ayoub Yousfi Amkadmi,https://footystats.org/players/spain/ayoub-yousfi-amkadmi,"Hassania AgadirPosition : MidfielderNationality : SpainKit Number : #11Age : 23 (December 30, 2002)Annual Salary (Euros) : €28,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MidfielderNationality : SpainKit Number : #11Age : 23 (December 30, 2002)Annual Salary (Euros) : €28,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","SpainKit Number : #11Age : 23 (December 30, 2002)Annual Salary (Euros) : €28,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,23.0,,3,63,21 min' per appearance,"€28,000",0,3,0,0,0.0,2,2.86,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0 min' / goal,0,0.0,0/ 0,0.0,0/ 0,0.0,0 times,0.0,0.00%,0.00%,0.0,2,2.86,1.1,1.57,0,0.0,0/ 0,0.0,0.00%,0,0.0,0,0.0,0/ 0,0.0,0.00%,32 min' / assist,0,0.0,0.0,0.0,0.00%,0,0.0,0.0,0.0,0,0,0,0.0,No Bookings,0,0%,0,0.0,0,0.0,0,0.0,0 min',0,0%,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,No Pens,No Pens,0,0,0,0,0,,,,,,,,
Hakim Ziyech,https://footystats.org/players/morocco/hakim-ziyech,"Wydad CasablancaNational Team : MoroccoPosition : Midfielder - Right WingNationality : MoroccoFoot : LeftKit Number : #7Age : 33 (March 19, 1993)Height : 180cmWeight : 65kgGeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","Midfielder - Right WingNationality : MoroccoFoot : LeftKit Number : #7Age : 33 (March 19, 1993)Height : 180cmWeight : 65kgGeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoFoot : LeftKit Number : #7Age : 33 (March 19, 1993)Height : 180cmWeight : 65kgGeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,33.0,4.0,3,213,71 min' per appearance,,3,1,2,2,0.85,2,0.85,1,1.41,1,0.6,2.61,0.85,2.61,0.85,0,0,0,0,107 min' / goal,29,9.46,9/ 29,2.93,20/ 29,6.52,1 times,0.33,3.45%,31.03%,29.0,0,0.0,0.49,0.16,165,53.8,122/ 165,39.78,73.94%,8,2.61,29,9.46,6/ 29,1.96,20.69%,No Assists,Not Recorded,3.59,,2.28,,7,2.28,,0.0,1,0,1,0.42,213 min' / card,0,0%,4,1.3,8,2.61,0,0.0,0 min',2,67%,6,1.96,1,0.33,35,11.41,20,6.52,0,0.0,1,0.33,1,0.33,0,0.0,0,0.0,No Pens,73.68%,0,19,14,0,5,,,,,,,,
Zinédine Machach,https://footystats.org/players/france/zinedine-machach,"RSB BerkaneNational Team : RSB BerkanePosition : Midfielder - StrikerNationality : FranceFoot : RightKit Number : #29Age : 30 (January 5, 1996)Height : 185cmWeight : 74kgAnnual Salary (Euros) : €260,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","Midfielder - StrikerNationality : FranceFoot : RightKit Number : #29Age : 30 (January 5, 1996)Height : 185cmWeight : 74kgAnnual Salary (Euros) : €260,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","FranceFoot : RightKit Number : #29Age : 30 (January 5, 1996)Height : 185cmWeight : 74kgAnnual Salary (Euros) : €260,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,30.0,6.0,8,275,34 min' per appearance,"€260,000",2,6,1,0,0.0,1,0.33,0,0.0,0,0.0,0.57,0.19,0.57,0.19,0,0,0,0,0 min' / goal,8,2.62,1/ 8,0.33,7/ 8,2.29,1 times,0.33,0.00%,12.50%,0.0,1,0.33,1.01,0.33,144,47.13,115/ 144,37.64,79.86%,5,1.64,1,0.33,0/ 1,0.0,0.00%,275 min' / assist,12,3.93,4.0,1.31,33.33%,3,0.98,3.0,0.98,0,0,0,0.0,No Bookings,0,0%,6,1.96,6,1.96,5,1.64,55 min',4,50%,4,1.31,1,0.33,37,12.11,14,4.58,2,0.65,2,0.65,2,0.65,1,0.33,0,0.0,No Pens,No Pens,0,0,0,0,0,,,,,,,,
Achraf Al Idrissi Achraf Al Idrissi,https://footystats.org/players/morocco/achraf-al-idrissi-achraf-al-idrissi,"Difaâ El JadidaPosition : MidfielderNationality : MoroccoKit Number : #99Age : 30 (July 7, 1995)Height : 172cmAnnual Salary (Euros) : €15,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MidfielderNationality : MoroccoKit Number : #99Age : 30 (July 7, 1995)Height : 172cmAnnual Salary (Euros) : €15,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoKit Number : #99Age : 30 (July 7, 1995)Height : 172cmAnnual Salary (Euros) : €15,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,30.0,13.0,12,571,48 min' per appearance,"€15,000",6,6,1,1,0.16,3,0.47,1,0.39,0,0.0,0.52,0.14,0.52,0.14,0,0,0,0,571 min' / goal,0,0.0,0/ 0,0.0,0/ 0,0.0,0 times,0.0,0.00%,0.00%,0.0,2,0.32,0.58,0.16,0,0.0,0/ 0,0.0,0.00%,0,0.0,0,0.0,0/ 0,0.0,0.00%,286 min' / assist,0,0.0,0.0,0.0,0.00%,0,0.0,0.0,0.0,3,0,3,0.47,190 min' / card,3,25%,0,0.0,0,0.0,5,0.79,114 min',6,50%,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,No Pens,No Pens,0,0,0,0,0,,,,,,,,
Adil Rhaili,https://footystats.org/players/morocco/adil-rhaili,"Maghreb FèsPosition : Defender - Center BackNationality : MoroccoFoot : LeftKit Number : #13Age : 35 (April 25, 1991)Height : 192cmWeight : 80kgAnnual Salary (Euros) : €40,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","Defender - Center BackNationality : MoroccoFoot : LeftKit Number : #13Age : 35 (April 25, 1991)Height : 192cmWeight : 80kgAnnual Salary (Euros) : €40,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoFoot : LeftKit Number : #13Age : 35 (April 25, 1991)Height : 192cmWeight : 80kgAnnual Salary (Euros) : €40,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,35.0,4.0,15,1306,87 min' per appearance,"€40,000",15,0,1,0,0.0,2,0.14,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0 min' / goal,0,0.0,0/ 0,0.0,0/ 0,0.0,0 times,0.0,0.00%,0.00%,0.0,2,0.14,1.27,0.09,0,0.0,0/ 0,0.0,0.00%,0,0.0,0,0.0,0/ 0,0.0,0.00%,653 min' / assist,0,0.0,0.0,0.0,0.00%,0,0.0,0.0,0.0,3,0,3,0.21,435 min' / card,3,20%,0,0.0,0,0.0,5,0.34,261 min',9,60%,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,No Pens,No Pens,0,0,0,0,0,,,,,,,,
Marouane Ouhrou,https://footystats.org/players/morocco/marouane-ouhrou,"Maghreb FèsPosition : MidfielderNationality : MoroccoKit Number : #21Age : 24 (February 8, 2002)Annual Salary (Euros) : €50,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MidfielderNationality : MoroccoKit Number : #21Age : 24 (February 8, 2002)Annual Salary (Euros) : €50,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoKit Number : #21Age : 24 (February 8, 2002)Annual Salary (Euros) : €50,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,24.0,76.0,16,1421,89 min' per appearance,"€50,000",16,0,1,0,0.0,2,0.13,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0 min' / goal,0,0.0,0/ 0,0.0,0/ 0,0.0,0 times,0.0,0.00%,0.00%,0.0,2,0.13,1.3,0.08,0,0.0,0/ 0,0.0,0.00%,0,0.0,0,0.0,0/ 0,0.0,0.00%,711 min' / assist,0,0.0,0.0,0.0,0.00%,0,0.0,0.0,0.0,5,0,5,0.32,284 min' / card,5,31%,0,0.0,0,0.0,5,0.32,284 min',10,63%,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,No Pens,No Pens,0,0,0,0,0,,,,,,,,
Hamza Ait Allah,https://footystats.org/players/morocco/hamza-ait-allah,"Maghreb FèsPosition : MidfielderNationality : MoroccoKit Number : #22Annual Salary (Euros) : €80,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MidfielderNationality : MoroccoKit Number : #22Annual Salary (Euros) : €80,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoKit Number : #22Annual Salary (Euros) : €80,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,,17.0,8,630,79 min' per appearance,"€80,000",7,1,1,0,0.0,2,0.29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0 min' / goal,0,0.0,0/ 0,0.0,0/ 0,0.0,0 times,0.0,0.00%,0.00%,0.0,2,0.29,1.07,0.15,0,0.0,0/ 0,0.0,0.00%,0,0.0,0,0.0,0/ 0,0.0,0.00%,315 min' / assist,0,0.0,0.0,0.0,0.00%,0,0.0,0.0,0.0,2,0,2,0.29,315 min' / card,2,25%,0,0.0,0,0.0,3,0.43,210 min',5,63%,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,No Pens,No Pens,0,0,0,0,0,,,,,,,,
Walid Nassi Ouled Bentle,https://footystats.org/players/france/walid-nassi-ouled-bentle,"Wydad CasablancaPosition : MidfielderNationality : FranceKit Number : #28Annual Salary (Euros) : €80,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MidfielderNationality : FranceKit Number : #28Annual Salary (Euros) : €80,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","FranceKit Number : #28Annual Salary (Euros) : €80,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,,20.0,7,224,32 min' per appearance,"€80,000",2,5,1,1,0.4,3,1.21,1,1.15,0,0.0,0.97,0.39,0.97,0.39,0,0,0,0,224 min' / goal,3,1.21,3/ 3,1.21,0/ 3,0.0,0 times,0.0,33.33%,100.00%,3.0,2,0.8,1.49,0.6,53,21.29,37/ 53,14.87,69.81%,4,1.61,4,1.61,2/ 4,0.8,50.00%,112 min' / assist,6,2.41,2.0,0.8,33.33%,2,0.8,1.0,0.4,1,0,1,0.4,224 min' / card,1,14%,4,1.61,9,3.62,3,1.21,75 min',5,71%,3,1.21,1,0.4,34,13.66,16,6.43,3,1.21,3,1.21,0,0.0,0,0.0,0,0.0,No Pens,No Pens,0,0,0,0,0,,,,,,,,
Ismail Mihrab,https://footystats.org/players/morocco/ismail-mihrab,"Kawkab MarrakechPosition : MidfielderNationality : MoroccoKit Number : #19Age : 29 (December 1, 1996)Height : 173cmAnnual Salary (Euros) : €85,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MidfielderNationality : MoroccoKit Number : #19Age : 29 (December 1, 1996)Height : 173cmAnnual Salary (Euros) : €85,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoKit Number : #19Age : 29 (December 1, 1996)Height : 173cmAnnual Salary (Euros) : €85,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,29.0,23.0,12,678,57 min' per appearance,"€85,000",9,3,1,1,0.13,3,0.4,1,0.33,0,0.0,0.55,0.07,0.55,0.07,0,0,0,0,678 min' / goal,0,0.0,0/ 0,0.0,0/ 0,0.0,0 times,0.0,0.00%,0.00%,0.0,2,0.27,1.08,0.14,0,0.0,0/ 0,0.0,0.00%,0,0.0,0,0.0,0/ 0,0.0,0.00%,339 min' / assist,0,0.0,0.0,0.0,0.00%,0,0.0,0.0,0.0,4,0,4,0.53,170 min' / card,4,33%,0,0.0,0,0.0,7,0.93,97 min',4,33%,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,No Pens,No Pens,0,0,0,0,0,,,,,,,,
Amine El Msane,https://footystats.org/players/morocco/amine-el-msane,"FUS RabatPosition : DefenderNationality : MoroccoKit Number : #3Annual Salary (Euros) : €160,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","DefenderNationality : MoroccoKit Number : #3Annual Salary (Euros) : €160,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoKit Number : #3Annual Salary (Euros) : €160,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,,60.0,14,1260,90 min' per appearance,"€160,000",14,0,0,0,0.0,2,0.14,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0 min' / goal,0,0.0,0/ 0,0.0,0/ 0,0.0,0 times,0.0,0.00%,0.00%,0.0,2,0.14,0.6,0.04,0,0.0,0/ 0,0.0,0.00%,0,0.0,0,0.0,0/ 0,0.0,0.00%,630 min' / assist,0,0.0,0.0,0.0,0.00%,0,0.0,0.0,0.0,3,0,3,0.21,420 min' / card,3,21%,0,0.0,0,0.0,18,1.29,70 min',2,14%,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,No Pens,No Pens,0,0,0,0,0,,,,,,,,
Adam Brika,https://footystats.org/players/morocco/adam-brika,"Maghreb FèsPosition : MidfielderNationality : MoroccoKit Number : #26GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MidfielderNationality : MoroccoKit Number : #26GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoKit Number : #26GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,,46.0,15,1007,67 min' per appearance,,13,2,2,1,0.09,3,0.27,0,0.0,1,0.17,0.0,0.0,0.0,0.0,0,0,0,0,1007 min' / goal,0,0.0,0/ 0,0.0,0/ 0,0.0,0 times,0.0,0.00%,0.00%,0.0,2,0.18,0.65,0.13,0,0.0,0/ 0,0.0,0.00%,0,0.0,0,0.0,0/ 0,0.0,0.00%,504 min' / assist,0,0.0,0.0,0.0,0.00%,0,0.0,0.0,0.0,6,1,7,0.63,144 min' / card,5,33%,0,0.0,0,0.0,4,0.36,252 min',9,60%,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,No Pens,No Pens,0,0,0,0,0,,,,,,,,
