0 ~ 9:59 Min,Overall,At Home,At Away
Wins,12%,25%,0%
Draws,76%,75%,78%
Loss,12%,0%,22%
Goals 0.5+,24%,25%,22%
Corners 0.5+,100%,100%,100%
Cards 0.5+,0%,0%,0%
